Chinese,English,French,ID,Japanese,Spanish
美国,America,Amérique,1,アメリカ,America
俄国,Russia,Russie,7,ロシア,Rusia
埃及,Egypt,Egypte,20,エジプト,Egipto
比利时,Belgium,Belgique,32,ベルギー,Bélgica
法国,France,France,33,フランス,Francia
西班牙,Spain,Espagne,34,スペイン,España
瑞士,Switzerland,Suisse,41,スイス,Suiza
英国,England,Angleterre,44,イギリス,Ingraterra
丹麦,Denmark,Danemark,45,デンマーク,Dinamarca
瑞典,Sweden,Suède,46,スウェーデン,Suecia
波兰,Poland,Pologne,48,ポーランド,Polonia
德国,Germany,Allemagne,49,ドイツ,Alemania
秘鲁,Peru,Pérou,51,ペルー,Perú
墨西哥,Mexico,Mexique,52,メキシコ,Méjico
阿根廷,Argentina,Argentine,54,アルゼンチン,Argentina
巴西,Brazil,Brésil,55,ブラジル,Brasil
哥伦比亚,Colombia,Colombie,57,コロンビア,Colombia
澳大利亚,Australia,Australie,61,オーストラリア,Australia
日本,Japan,Japon,81,日本,Japon
韩国,Korea,Corée,82,韓国,Corea
伊朗,Iran,Iran,98,イラン,Corrí
摩洛哥,Morocco,Maroc,212,モロッコ,Marruecos
突尼斯,Tunisia,Tunisie,216,チュニジア,Túnez
塞内加尔,Senegal,Sénégal,221,セネガル,Senegal
尼日利亚,Nigeria,Nigeria,234,ナイジェリア,Nigeria
葡萄牙,Portugal,Portugal,351,ポルトガル,Portugal
冰岛,Iceland,Islande,354,アイスランド,Islandia
塞尔维亚,Serbia,Serbie,381,セルビア,Serbia
克罗地亚,Croatia,Croatie,385,クロアチア,Croacia
哥斯达黎加,Costa Rica,Costa Rica,506,コスタリカ,Costa Rica
巴拿马,Panama,Panama,507,パナマ,Panamá
乌拉圭,Uruguay,Uruguay,598,ウルグアイ,Uruguay
沙特阿拉伯,Saudi Arabia,Arabie Saoudite,966,サウジアラビア,Arabia Saudita
