_id,id,head_name,tail_name,head_waname,tail_waname,another_waname,league,start_date,end_date
,HT,Hanshin,Tigers,阪神,タイガース,,1,1900-01-01 00:00:00,9999-12-31 23:59:59
,YG,Yomiuri,Giants,読売,ジャイアンツ,巨人,1,1900-01-01 00:00:00,9999-12-31 23:59:59
,CD,Chunichi,Dragons,中日,ドラゴンズ,,1,1900-01-01 00:00:00,9999-12-31 23:59:59
,YS,Yakult,Swallows,ヤクルト,スワローズ,,1,1900-01-01 00:00:00,9999-12-31 23:59:59
,YB,Yokohama,Baystars,横浜,ベイスターズ,,1,1900-01-01 00:00:00,9999-12-31 23:59:59
,HC,Hiroshima,Carp,広島,カープ,,1,1900-01-01 00:00:00,9999-12-31 23:59:59
,DH,Softbank,Hawks,ソフトバンク,ホークス,,2,1900-01-01 00:00:00,9999-12-31 23:59:59
,SL,Seibu,Lions,西武,ライオンズ,,2,1900-01-01 00:00:00,9999-12-31 23:59:59
,LM,Lotte,Marines,ロッテ,マリーンズ,,2,1900-01-01 00:00:00,9999-12-31 23:59:59
,NF,NipponHam,Fighters,日本ハム,ファイターズ,,2,1900-01-01 00:00:00,9999-12-31 23:59:59
,RE,Rakuten,Eagles,楽天,イーグルス,,2,1900-01-01 00:00:00,9999-12-31 23:59:59
,OB,Orix,Buffaloes,オリックス,バッファローズ,,2,1900-01-01 00:00:00,9999-12-31 23:59:59
